ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"105.25.144.182","elite","AS37100","ZA","SEACOM Limited Networks","310","N/A","5678","socks4","35","627","2021-08-24T07:31:26.738Z"
"103.80.210.94","elite","AS17882","MN","Unidish LLC","183","N/A","5678","socks4","46","N/A","2021-08-24T07:31:25.091Z"
"103.83.188.210","elite","AS136210","MM","IT Spectrum Company Limited","319","N/A","5678","socks4","35","N/A","2021-08-24T07:31:24.227Z"
"103.80.210.116","elite","AS17882","MN","Unidish LLC","179","N/A","5678","socks4","34","5001","2021-08-24T07:31:23.220Z"
"93.191.100.247","elite","AS42772","BY","SOLO","196","Solo Ltd","5678","socks4","40","5001","2021-08-24T07:31:21.468Z"
"187.16.255.69","elite","AS28260","BR","Alta Rede Corporate Network Telecom Ltda - EPP","194","Alta Rede Corporate Network Telecom Ltda - EPP","4153","socks4","35","N/A","2021-08-24T07:31:20.644Z"
"186.251.180.97","elite","AS262832","BR","Infotechnet Informatica e Assistencia Tecnica Ltda","140","Infotechnet Informatica e Assistencia Tecnica Ltda","5678","socks4","35","5001","2021-08-24T07:31:19.023Z"
"186.81.54.75","elite","AS10620","CO","Telmex Colombia S.A.","137","Telmex Colombia S.A.","5678","socks4","37","259","2021-08-24T07:31:19.778Z"
"103.81.238.225","elite","AS135845","IN","Krishiinet Infocom Private Limited","222","Krishiinet Infocom Private Limited","5678","socks4","46","N/A","2021-08-24T07:31:17.575Z"
"93.93.63.27","elite","AS44613","LT","AB \"Ogmios Centras\"","175","Gurmanu Klubas","5678","socks4","47","5001","2021-08-24T07:31:16.579Z"
"92.60.190.249","elite","AS1820","UA","Komtel","180","Wnet LLC","59816","socks4","35","N/A","2021-08-24T07:31:15.773Z"
"92.45.19.60","elite","AS34984","TR","Tellcom ADSL IZM","217","Efesnet  A.S.","5678","socks4","35","433","2021-08-24T07:31:13.310Z"
"187.60.149.61","elite","AS28153","BR","Micropic Ltda","209","Micropic Ltda","5678","socks4","42","N/A","2021-08-24T07:31:13.498Z"
"187.18.108.23","elite","AS22689","BR","Sercomtel ParticipaÔÔes S.A.","N/A","Sercomtel Participações S.A","5678","socks4","40","5001","2021-08-24T07:31:12.551Z"
"95.160.27.245","elite","AS29314","PL","Broadband users of Vectra S.A.","175","SWIEBODZIN","5678","socks4","37","5001","2021-08-24T07:31:12.136Z"
"92.252.241.27","elite","AS12389","RU","PJSC Rostelecom","191","Rostelecom","5678","socks4","35","5002","2021-08-24T07:31:10.944Z"
"91.92.181.58","elite","AS58224","IR","TIC","239","Telecommunication Company of Tehran","5678","socks4","37","454","2021-08-24T07:31:06.497Z"
"94.182.199.250","elite","AS31549","IR","Aria Shatel Company Ltd","229","SHATEL Network","8080","socks4","35","N/A","2021-08-24T07:31:05.252Z"
"93.95.89.84","elite","AS35434","PL","PirxNet Grzegorz Bialas","176","PirxNet ISP Silesia","5678","socks4","34","560","2021-08-24T07:31:05.260Z"
"91.82.49.197","elite","AS12301","HU","Invitech ICT Services Kft.","185","Invitech ICT Services Kft","5678","socks4","35","5001","2021-08-24T07:31:04.062Z"
"95.104.39.224","elite","AS16010","GE","Magticom Ltd.","214","Magticom","5678","socks4","36","420","2021-08-24T07:31:04.189Z"
"92.45.51.207","elite","AS34984","TR","Tellcom Kurumsal Avrupa LAN","195","Tellcom Iletisim Hizmetleri","1080","socks4","46","N/A","2021-08-24T07:31:03.037Z"
"94.141.230.130","elite","AS41798","KZ","JSC Transtelecom","242","JSC Transtelecom","5678","socks4","45","5000","2021-08-24T07:31:02.157Z"
"94.156.51.199","elite","AS31420","BG","Terasyst balancer 1 8","188","N/A","5678","socks4","34","N/A","2021-08-24T07:30:58.400Z"
"186.225.116.22","elite","AS28669","BR","America-NET Ltda.","196","America-NET Ltda","5678","socks4","45","5001","2021-08-24T07:30:57.041Z"
"47.224.98.123","elite","AS20115","US","Charter Communications","70","Spectrum","5678","socks4","34","365","2021-08-24T07:30:57.545Z"
"46.209.47.2","elite","AS42337","IR","Respina","244","N/A","1081","socks4","38","N/A","2021-08-24T07:30:56.878Z"
"92.45.51.220","elite","AS34984","TR","Tellcom Kurumsal Avrupa LAN","193","Tellcom Iletisim Hizmetleri","1080","socks4","35","N/A","2021-08-24T07:30:56.329Z"
"94.156.243.218","elite","AS29030","BG","Telecable","204","N/A","5678","socks4","34","N/A","2021-08-24T07:30:55.459Z"
"49.156.35.246","elite","AS24492","KH","WiCAM Corporation Ltd","204","Wicam Corporation LTD","5678","socks4","37","N/A","2021-08-24T07:30:55.806Z"
"46.21.220.74","elite","AS39288","PL","Nette sp. z o.o.","192","Nette sp. z o.o.","5678","socks4","34","N/A","2021-08-24T07:30:54.919Z"
"5.133.30.155","elite","AS57704","PS","SpeedClick for Information Technology and Communication Ltd","214","JETNET for Communication and Information Technology Ltd.","5678","socks4","35","N/A","2021-08-24T07:30:54.539Z"
"5.160.168.131","elite","AS42337","IR","Respina","249","N/A","5678","socks4","35","5003","2021-08-24T07:30:54.082Z"
"46.167.238.19","elite","AS16019","CZ","UPC Czech","164","Tkom Plus sro, customers space","5678","socks4","34","5001","2021-08-24T07:30:52.021Z"
"187.111.88.193","elite","AS53147","BR","Fontes Solucoes Tecnologicas Ltda","220","Fontes Solucoes Tecnologicas Ltda","5678","socks4","35","409","2021-08-24T07:30:51.351Z"
"181.129.18.138","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","108","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","35","N/A","2021-08-24T07:30:50.224Z"
"179.220.12.26","elite","AS28573","BR","Claro S.A.","238","NET Serviços de Comunicação S.A.","5678","socks4","35","486","2021-08-24T07:30:49.687Z"
"46.28.72.69","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","241","Sefroyek Pardaz Engineering Company","4153","socks4","35","478","2021-08-24T07:30:48.244Z"
"179.108.248.174","elite","AS263276","BR","BBG TELECOM LTDA","148","Erika Monteiro Guerra","4153","socks4","34","N/A","2021-08-24T07:30:48.385Z"
"181.129.251.109","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","133","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","35","N/A","2021-08-24T07:30:47.159Z"
"181.129.75.51","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","108","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","34","N/A","2021-08-24T07:30:47.695Z"
"46.98.198.10","elite","AS15377","UA","ISP \"Fregat\"","220","ISP \"Fregat\" Ltd.","5678","socks4","37","5004","2021-08-24T07:30:46.430Z"
"181.114.58.55","elite","AS263170","HN","Netsys","108","AutosWeb","5678","socks4","34","N/A","2021-08-24T07:30:46.521Z"
"49.156.152.242","elite","AS17483","IN","City Online","241","N/A","5678","socks4","34","N/A","2021-08-24T07:30:46.941Z"
"46.98.194.8","elite","AS15377","UA","ISP \"Fregat\"","449","ISP \"Fregat\" Ltd.","5678","socks4","38","5002","2021-08-24T07:30:45.785Z"
"180.243.154.241","elite","AS7713","ID","PT. TELKOM INDONESIA","196","N/A","5678","socks4","44","399","2021-08-24T07:30:45.976Z"
"181.129.137.29","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","115","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","35","5003","2021-08-24T07:30:44.880Z"
"46.98.196.19","elite","AS15377","UA","ISP \"Fregat\"","264","ISP \"Fregat\" Ltd.","5678","socks4","50","5001","2021-08-24T07:30:40.712Z"
"170.239.253.251","elite","AS266360","BR","Utopianet Informatica E Telecomunicacoes Ltda","N/A","Utopianet Informatica E Telecomunicacoes Ltda","4145","socks4","36","5001","2021-08-24T07:30:39.432Z"
"212.225.240.31","elite","AS34977","ES","Procono S.A.","156","Procono, S.A.","3629","socks4","35","N/A","2021-08-24T07:30:39.723Z"